,Collocations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,без году неделя,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
1,без ножа зарезать,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
2,"без сучка, без задоринки",0,0,1,1,1,0,1,0,1,0,0,0,0,1,1
3,белены объелся,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
4,белый гриб,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1
5,беспокойный человек,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
6,беспробудное пьянство,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
7,беспросыпно пьянствовать,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
8,бить баклуши,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1
9,бить ключом,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
10,биться из-за куска хлеба,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
11,благим матом,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
12,бог даст,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
13,бог знает,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
14,богу ведомо,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
15,борьба за существование,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
16,брат милосердия,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
17,брать в свои руки,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
18,будь здоров,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
19,была не была,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
20,быть под мухой,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1
21,в доску,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
22,в то время как,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
23,валить с больной головы на здоровую,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
24,вверх тормашками,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0
25,ввиду того что,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
26,великий князь,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0
27,великий пост,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
28,вести переговоры,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
29,вечерняя газета,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
30,взятки гладки,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
31,взять за бока,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
32,взять свое,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
33,вместо того чтобы,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
34,во время оно,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0
35,во все тяжкие,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
36,во всю Ивановскую,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
37,во свояси,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0
38,воля ваша,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
39,вопиющая несправедливость,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
40,вопросительный знак,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
41,Вот так клюква,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
42,вот так штука (у Виноградова: вот так штука капитана Кука),1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
43,вот тебе и на!,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
44,всплыть на поверхность,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
45,всякой твари по паре,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
46,втирать очки,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1
47,вы знаете (как вводная фраза),1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
48,вывести на чистую воду,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
49,выжить из ума,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
50,вымыть/намылить голову,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
51,выносить сор из избы,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
52,глаз/носу не казать,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0
53,глубокая ночь/осень/старость/печаль/мысль,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,гнуть в три погибели,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
55,горько сожалеть,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
56,даром что,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
57,дать по шапке,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
58,дело не терпит отлагательства,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
59,денег у ... куры не клюют,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
60,держать в ежовых рукавицах,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
61,держать в крепких руках,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
